nome_escola,logradouro,numero,bairro,municipio
EMEI do Bairro Martins,Rua Padre Pio,300,Osvaldo Resende,Uberlândia
EM Prof Sérgio de Oliveira Marquez,Rua Maria Abrão Calil,25,Pacaembu,Uberlândia
EM Prof Maria Leonor de Freitas Barbosa,Rua Cabral Menezes,216,Roosevelt,Uberlândia
EMEI Eurípedes Rocha,Rua Avelino Jorge do Nascimento,171,Roosevelt,Uberlândia
EMEI Roosevelt,Rua João Justino Fernandes,319,Roosevelt,Uberlândia
Marcenaria Da Educação,Rua João Justino Fernandes,289,Roosevelt,Uberlândia
EMEI do Bairro Esperança,Rua Jerci Rodrigues Braga,22,Santa Rosa,Uberlândia
EMEI Prof Sérgio Aparecido da Silva,Rua Dr. Vivaldi Cunha,25,Santa Rosa,Uberlândia
EMEI Prof Maria Claro,Rua do Basalto,,São José,Uberlândia
EMEI Jean Piaget,Rua dos Tamborins,75,Taiaman,Uberlândia
EMEI Jean Piaget - Anexo,Rua José Pires Defensor,35,Taiaman,Uberlândia
EMEI Prof Eloah Marisa de Menezes,Rua das Rabecas,118,Taiaman,Uberlândia
EMEI do Conjunto Alvorada,Avenida Alcides Peixoto Barbosa,,Alvorada,Uberlândia
EMEI Maria Terezinha Cunha Silva,Rua Edésio Fernandes de Morais,75,Alvorada,Uberlândia
EM Prof.ª Jacy de Assis,Rua Antônio Bernardes Costa,111,Aurora,Uberlândia
EM Sebastiana Silveira Pinto,Rua Antônio Bernardes Costa,161,Aurora,Uberlândia
EM Olhos D’Água - zona rural,Fazenda Olhos D’Água,,BR 365 Km 14,Uberlândia
EM Prof Gláucia Santos Monteiro,Rua José Malaquias dos Santos,790,Carajás,Uberlândia
EMEI Hipólita Teresa Eranci - ANEXO,Rua DA HARMONIA,305,Celebridade,Uberlândia
EMEI Prof Stela Maria de Paiva Carrijo,Avenida Clássica,333,Centro,Uberlândia
EM Prof Eurico Silva,Rua Antônio Alves Santos,39,Conjunto Viviane,Uberlândia
EMEI Prof Maria Luiza Barbosa de Souza,Rua Iraci Marcelino Vieira,170,Conjunto Viviane,Uberlândia
EM Sebastião Rangel - zona rural,Avenida José Pedro Abalém,779,Distrito de Tapuirama,Uberlândia
EM Dr. Joel Cupertino Rodrigues,Rua da Unidade,80,Dom Almir,Uberlândia
EMEI do Bairro Dom Almir,Rua da Consolação,135,Dom Almir,Uberlândia
EMEI do Bairro Dom Almir - ANEXO,Rua Alicerce,8,Dom Almir,Uberlândia
EM do Moreno,Fazenda Tenda dos Morenos,,Estrada do Pau Furado,Uberlândia
EM Emilio Ribas,"BR 050, KM 93",,Floresta do Lobo,Uberlândia
EM Prof Valdemar Firmino de Oliveira,Rua Afonso Lourenço,249,Granada,Uberlândia
EMEI Paulo Freire,Rua Pio XII,,Jardim Finotti,Uberlândia
EMEI Prof Gesimeire Fátima Araújo,Rua Joaquim Fernandes Veloso,179,Jardim Finotti,Uberlândia
EMEI Cora Coralina,Rua Ocidental,44,Jardim Ipanema,Uberlândia
EM Prof Olga Del Fávero,Rua Jordânia,157,Laranjeiras,Uberlândia
EM Afrânio de Freitas Azevedo,Rua Manuel Lúcio dos Santos,435,Loteamento Grand Ville,Uberlândia
EM Eugênio Pimentel Arantes,Rua do Moinho,60,Morumbi,Uberlândia
EM Hilda Leão Carneiro,Rua Gamela,220,Morumbi,Uberlândia
EM Prof.ª Irene Monteiro Jorge,Rua Canoas,113,Morumbi,Uberlândia
EMEI Anísio Spínola Teixeira - SEDE,Avenida Felipe Calixto Milkem,117,Morumbi,Uberlândia
EMEI Hipólita Teresa Eranci - SEDE,Rua Canoas,140,Morumbi,Uberlândia
EMEI Pampulha,Rua Professor Inácio Castilho,385,Pampulha,Uberlândia
EM Irmã Odélcia Leão Carneiro,Rua Serra Pacaraíma,800,Parque São Gabriel,Uberlândia
EMEI Dr. José Ribeiro,Rua Manoel Fernandes Silva,22,Santa Luzia,Uberlândia
EM Estudante Mirelly Fernandes Souza,Av. Ortízio Borges,3360,Santa Mônica,Uberlândia
EM Prof Domingos Pimentel de Ulhôa,Rua Antônio Rezende Chaves,1540,Santa Mônica,Uberlândia
EMEI do Bairro Santa Mônica,Rua Péricles Vieira da Mota,1075,Santa Mônica,Uberlândia
EMEI Maria Pacheco Rezende,Avenida Ubiratan Honório de Castro,680,Santa Mônica,Uberlândia
EMEI Prof Shirley Lourdes de Menezes Vieira,Av. Salomão Abrahão,39,Santa Mônica,Uberlândia
EMEI Zacarias Pereira da Silva,R. José Miguel Saramago,534,Santa Mônica,Uberlândia
EM Prof Milton de Magalhães Porto,Rua do Serviço A,136,Segismundo Pereira,Uberlândia
EMEI Cecília Meireles,Rua Jaime Ribeiro da Luz,1995,Segismundo Pereira,Uberlândia
EMEI Prof Cornélia Yara Castanheira,Rua Jaime Ribeiro da Luz,1991,Segismundo Pereira,Uberlândia
EM Odilon Custódio Pereira,Rua Chapada da Diamantina,355,Seringueiras,Uberlândia
EMEI Prof Rosângela Borges Cunha - SEDE,Rua Serra Santa Marta,105,Seringueiras,Uberlândia
EM do Bairro Shopping Park,Avenida Ivete Cordeiro da Silva,450,Shopping Park,Uberlândia
EM Presidente Itamar Franco,Rua Jurandir Macedo,185,Shopping Park,Uberlândia
EMEI do Bairro Shopping Park(EMEI Maria Elvira Sabbag),Rua Jurandir Macedo,91,Shopping park,Uberlândia
EMEI do Bairro Tibery,Av. Frederico Tibery,1042,Tibery,Uberlândia
EMEI Prof Carmelita Vieira dos Santos,Praça das Nações,91,Tibery,Uberlândia
EM Dom Bosco,"BR 365, KM 20",,Zona rural,Uberlândia
EM Cidade da Música,Rua das Juritis,1315,Cidade Jardim,Uberlândia
EM Domingas Camin - zona rural,Avenida do Comércio,,Distrito de Miraporanga,Uberlândia
EMEI do Bairro Santa Luzia,Rua Nova Ponte,550,Gravatás,Uberlândia
EM Gladsen Guerra de Rezende,Rua Gaza,330,Jardim Canaã,Uberlândia
EM Prof Josiany França,Rua Nazaré,519,Jardim Canaã,Uberlândia
EM Prof Carlota de Andrade Marquez,Rua dos Sininhos,205,Jardim Célia,Uberlândia
EMEI Jornalista Luiz Fernando Quirino,Rua dos Sininhos,215,Jardim Célia,Uberlândia
Centro Solidário de Educação Infantil de Uberlândia SERVAS,Alameda José de Oliveira,1680,Jardim das Palmeiras II,Uberlândia
EMEI Prof Clesilda Alves Rosa,Alameda Rodrigo Pereira de Souza,34,Jardim das Palmeiras II,Uberlândia
EM Inspetora France Abadia Machado Santana,Rua Laurindo Fonseca Silva,144,Jardim Patrícia,Uberlândia
EM Mário Alves Araújo Silva,Rua Roberto Margonari,406,Luizote de Freitas,Uberlândia
EMEI do Bairro Luizote de Freitas,Rua Roberto Margonari,753,Luizote de Freitas,Uberlândia
EMEI Maria Floripes Alves,Rua Roberto Margonari,810,Luizote de Freitas,Uberlândia
EMEI Prof Izildinha Mª. M. do Amaral,Rua Osvaldo Samora,2,Luizote de Freitas,Uberlândia
EM Prof Cecy Cardoso Porfírio,Avenida Rio Jequitinhonha,415,Mansour,Uberlândia
EM Prof Valdir Araujo,Rua Tibre,221,Mansour,Uberlândia
EMEI do Bairro Mansour,Rua Citaré,52,Mansour,Uberlândia
EMEI Prof Sônia Aparecida Álvares de Oliveira,Rua Rio Volga,54,Mansour,Uberlândia
EMEI Prof Veridiana Rodrigues Carneiro,Rua Ione Fonseca Carneiro,100,Mansour,Uberlândia
EMEI do Bairro Patrimônio,Rua Bocaiúva,10,Morada da Colina,Uberlândia
EMEI Grande Otelo,Rua Bocaiúva,14,Morada da Colina,Uberlândia
EM Freitas Azevedo,Avenida Aldo Borges Leão,2309,Morada Nova,Uberlândia
EMEI Prof Olívia Calábria,Rua Alexi Abrahão,301,Nova Uberlândia,Uberlândia
EM Prof Maria Regina Arantes Lemes - zona rural,BR 497 Km 26,,Fazenda São José,Uberlândia
EM Prof Iracy Andrade Junqueira,Rua Maria Abadia Mamede,385,Planalto,Uberlândia
EM Prof Leôncio do Carmo Chaves,Rua Engenheiro,416,Planalto,Uberlândia
EM Prof Maria José Mamede Moreira,Rua do Garçom,101,Planalto,Uberlândia
EMEI Planalto,Rua do Borracheiro,291,Planalto,Uberlândia
EMEI Prof Edna Aparecida de Oliveira,Rua do Garçom,476,Planalto,Uberlândia
EMEI Augusta Maria de Freitas,Rua Serra do Ibiapaba,152,Seringueiras,Uberlândia
EM Boa Vista,Rua Joaquim Ferreira Rodrigues,460,Tocantins,Uberlândia
EM Prof Mário Godoy Castanho,Rua Joaquim Roberto de Souza,508,Tocantins,Uberlândia
EMEI do Bairro Tocantins,Rua Dr. Manoel Thomás Teixeira de Souza,690,Tocantins,Uberlândia
EM Prof Luis Rocha e Silva,Avenida Afonso Arinos,470,Tubalina,Uberlândia
EMEI São Francisco de Assis,Praça São Francisco de Paula,,Tubalina,Uberlândia
PMAE - Alimentação Escolar,Rua Maria Dirce Ribeiro,476,Santa Mônica,Uberlândia
EMEI do Bairro Patrimônio- ANEXO,,,Patrimonio,Uberlândia
